time,Shortmidfoot5
0.0,2.66453526e-15
0.00100000005,7.75739391e-05
0.00118043262,8.84026449e-05
0.0013673763,8.84026595e-05
0.00156627491,8.77905768e-05
0.00178191485,8.77906132e-05
0.00201872922,8.8103181e-05
0.00228102878,8.84027104e-05
0.00257318164,8.84027249e-05
0.00289975922,8.84027686e-05
0.00326566119,8.84028123e-05
0.0036762259,8.84027977e-05
0.00413733535,8.84028414e-05
0.0046555195,8.84028996e-05
0.00523806131,8.81033993e-05
0.00589310797,8.83899193e-05
0.00662979484,8.84030305e-05
0.0074583739,8.84031251e-05
0.00839036331,8.87026908e-05
0.00943870749,8.84032706e-05
0.0106179575,8.83902758e-05
0.0119444784,8.90025331e-05
0.0134366732,8.87031129e-05
0.0151152387,8.90028095e-05
0.0170034543,8.90029914e-05
0.0191275049,8.90032243e-05
0.0215168409,8.93029428e-05
0.0242045838,8.93032557e-05
0.0272279941,8.9603127e-05
0.0306289755,8.9903042e-05
0.0344546586,8.96040146e-05
0.0387580544,9.02166721e-05
0.0435987748,9.02043466e-05
0.0490438752,9.05047127e-05
0.0551687516,9.08052461e-05
0.0620582029,9.14055054e-05
0.0698075816,9.2019116e-05
0.0785241053,9.23204789e-05
0.0883283466,9.29217276e-05
0.0993558392,9.32240146e-05
0.111759,9.3813338e-05
0.125709131,9.50417088e-05
0.141398832,9.59453755e-05
0.159044549,9.65507934e-05
0.178889558,9.77568561e-05
0.201207235,9.95899536e-05
0.22630474,0.0001007873
0.254527122,0.000102626022
0.286261946,0.000104129824
0.321944535,0.000106250744
0.362063527,0.000108989741
0.407167494,0.000112348505
0.457872003,0.00011601609
0.514867723,0.000119682016
0.578929007,0.000123960242
0.650924087,0.000129465101
0.731825829,0.000134673872
0.822723687,0.00014141039
0.924837351,0.000149087718
1.03953087,0.000157052084
1.16832948,0.000166237849
1.31293631,0.000175104084
1.47525203,0.000186407444
1.65739584,0.000199232862
1.861727,0.000212027968
2.09086895,0.000225729309
2.34773469,0.000239998466
2.6355536,0.000255813502
2.95789766,0.000272224803
3.31871057,0.000288009032
3.72233438,0.000304104353
4.17353678,0.00032018387
4.67753601,0.000335072109
5.24002075,0.000349361304
5.86716652,0.000359681348
6.56564426,0.000366347434
7.34261847,0.000368130219
8.20572948,0.000363547355
9.16306305,0.000351998344
10.2230911,0.000332319236
11.3945942,0.000283308036
12.6865425,0.000206583936
14.1079416,0.000142073506
15.6676378,0.000137154711
17.3740635,0.000217755674
19.2349377,0.000322927255
21.2569065,0.00035181077
23.0,0.000334025623
25.3505707,0.00028165683
27.8664379,0.000187792932
30.0,8.32850637e-05
