time,Shortmidfoot7
0.0,2.66453526e-15
0.00100000005,-2.92800396e-05
0.00118043262,-2.40958598e-05
0.0013673763,-2.3784236e-05
0.00156627491,-2.37852182e-05
0.00178191485,-2.37862678e-05
0.00201872922,-2.34879408e-05
0.00228102878,-2.37886961e-05
0.00257318164,-2.34906511e-05
0.00289975922,-2.38047596e-05
0.00326566119,-2.37935092e-05
0.0036762259,-2.34960062e-05
0.00413733535,-2.3498249e-05
0.0046555195,-2.35007738e-05
0.00523806131,-2.35036041e-05
0.00589310797,-2.35067855e-05
0.00662979484,-2.29113775e-05
0.0074583739,-2.3214885e-05
0.00839036331,-2.35188563e-05
0.00943870749,-2.29249636e-05
0.0106179575,-2.29306424e-05
0.0119444784,-2.26244738e-05
0.0134366732,-2.26446937e-05
0.0151152387,-2.265273e-05
0.0170034543,-2.26617231e-05
0.0191275049,-2.20728471e-05
0.0215168409,-2.20841594e-05
0.0242045838,-2.17842971e-05
0.0272279941,-2.11995066e-05
0.0306289755,-2.09158952e-05
0.0344546586,-2.09336285e-05
0.0387580544,-2.0055013e-05
0.0435987748,-2.00771265e-05
0.0490438752,-1.95028388e-05
0.0551687516,-1.86188081e-05
0.0620582029,-1.83629563e-05
0.0698075816,-1.74854285e-05
0.0785241053,-1.63120894e-05
0.0883283466,-1.60673735e-05
0.0993558392,-1.55144917e-05
0.111759,-1.31432989e-05
0.125709131,-1.23006857e-05
0.141398832,-1.14764998e-05
0.159044549,-9.12135692e-06
0.178889558,-7.696186e-06
0.201207235,-5.36584139e-06
0.22630474,-3.05457638e-06
0.254527122,-4.23615859e-07
0.286261946,3.0741005e-06
0.321944535,7.20498338e-06
0.362063527,1.10062329e-05
0.407167494,1.53908368e-05
0.457872003,2.10122307e-05
0.514867723,2.78345051e-05
0.578929007,3.5250534e-05
0.650924087,4.51040287e-05
0.731825829,5.58566389e-05
0.822723687,6.97122596e-05
0.924837351,8.53995589e-05
1.03953087,0.000102656508
1.16832948,0.000121504068
1.31293631,0.000142211298
1.47525203,0.000163536097
1.65739584,0.000186094127
1.861727,0.000209881124
2.09086895,0.000233984974
2.34773469,0.00025809402
2.6355536,0.000282231689
2.95789766,0.000305165682
3.31871057,0.000326918729
3.72233438,0.000345299981
4.17353678,0.000358171586
4.67753601,0.000365505432
5.24002075,0.000362374296
5.86716652,0.000332191266
6.56564426,0.000270324614
7.34261847,0.000174953457
8.20572948,5.28345299e-05
9.16306305,-2.98744362e-05
9.93399239,-5.5602748e-05
